id,title,category,content,keywords
1,Getting Started,General,"Welcome to our knowledge base! This document contains helpful information about using our system. To get started, make sure you have all the required dependencies installed and follow the setup instructions in the README file.","setup, installation, getting started"
2,User Authentication,Security,"Users can authenticate using username and password. For enhanced security, we recommend enabling two-factor authentication (2FA). Contact your administrator to set up 2FA for your account.","login, authentication, 2FA, security"
3,Password Reset,Security,"To reset your password: 1) Click 'Forgot Password' on the login page. 2) Enter your email address. 3) Check your email for a reset link. 4) Create a new password following the security requirements.","password, reset, forgot password"
4,API Documentation,Development,"Our REST API supports JSON format for requests and responses. All endpoints require authentication via Bearer token. Rate limiting is set to 100 requests per minute per user.","API, REST, JSON, development"
5,Troubleshooting Connection Issues,Support,"If you're experiencing connection issues: 1) Check your internet connection. 2) Verify the server URL is correct. 3) Ensure your firewall allows outgoing connections. 4) Try clearing your browser cache.","troubleshooting, connection, network, support"
6,Data Export,Features,"You can export your data in CSV, JSON, or PDF format. Go to Settings > Export Data, select your preferred format, and click Export. Large exports may take several minutes to process.","export, data, CSV, JSON, PDF"
7,Privacy Policy,Legal,"We take your privacy seriously. We collect only necessary data to provide our services. Your data is encrypted at rest and in transit. We never sell your personal information to third parties.","privacy, data protection, legal"
8,System Requirements,Technical,"Minimum requirements: 4GB RAM, 2 CPU cores, 10GB storage. Recommended: 8GB RAM, 4 CPU cores, 50GB SSD storage. Supported browsers: Chrome, Firefox, Safari, Edge (latest versions).","requirements, system, hardware, browser"
9,Backup and Recovery,Operations,"Automatic backups run daily at 2 AM UTC. Backups are retained for 30 days. To restore from a backup, contact support with the desired restore date. Manual backups can be triggered from the admin panel.","backup, recovery, restore, data"
10,Contact Support,Support,"For technical support, email support@example.com or use the in-app chat. Business hours: Monday-Friday, 9 AM - 6 PM EST. For urgent issues, call our 24/7 hotline at 1-800-EXAMPLE.","support, contact, help, assistance"
